datetime,machineID,Actual_RUL,Predicted_RUL
2015-03-01 20:00:00,3,3393.9999999999995,2572.6914
2015-04-15 06:00:00,24,47.99999999999999,364.77863
2015-06-14 15:00:00,91,39.0,342.29892
2015-05-11 13:00:00,26,2393.0000000000005,1751.0508
2015-06-03 12:00:00,71,162.0,471.01196
2015-03-26 21:00:00,38,152.99999999999997,759.7917
2015-09-15 22:00:00,34,1016.0000000000001,1106.281
2015-03-15 23:00:00,32,607.0,749.09326
2015-04-23 06:00:00,62,840.0000000000001,889.62024
2015-10-05 00:00:00,85,174.0,364.97937
2015-10-02 03:00:00,52,699.0,939.7928
2015-01-22 02:00:00,81,604.0,449.51596
2015-08-26 03:00:00,31,219.0,276.8204
2015-02-10 16:00:00,98,86.0,328.8664
2015-07-08 17:00:00,1,1333.0,785.1731
2015-06-03 09:00:00,48,885.0,880.2205
2015-05-06 04:00:00,15,698.0,831.0113
2015-04-20 03:00:00,11,2.9999999999999996,559.77563
2015-07-07 14:00:00,66,2056.0,1574.2173
2015-05-03 17:00:00,36,804.9999999999998,814.43713
2015-07-10 10:00:00,82,3644.0000000000005,2501.0544
2015-05-21 10:00:00,96,1364.0,1206.1986
2015-02-15 11:00:00,98,331.00000000000006,437.3665
2015-05-05 20:00:00,73,274.0,473.64572
2015-07-12 04:00:00,9,121.99999999999997,368.82104
2015-04-14 09:00:00,26,3045.0,1885.1492
2015-06-07 14:00:00,88,616.0000000000002,776.78906
2015-02-19 08:00:00,66,2134.0000000000005,1308.7675
2015-06-15 14:00:00,91,16.0,299.81354
2015-08-29 11:00:00,85,331.00000000000006,91.237206
2015-03-15 15:00:00,73,423.00000000000006,322.44675
2015-02-03 06:00:00,40,360.00000000000017,570.81055
2015-01-18 03:00:00,64,51.00000000000001,345.96243
2015-03-31 16:00:00,81,398.0,75.00049
2015-05-28 23:00:00,55,175.0,502.70874
2015-09-19 11:00:00,38,2034.9999999999993,960.3814
2015-11-17 04:00:00,56,194.0,416.9619
